exposure	group	outcome	sequence_id	protein	gene	nsnp	method	b	se	pval	OR	lower_ci	upper_ci
10042_8_SGK3_SGK3	Male	overall	10042_8	SGK3	SGK3	2	IVW-MRE	-0.118902185589233	0.0154575009377794	1.44626531290066e-14	0.887894645406116	0.861397776673346	0.915206566222434
10425_3_B4GALT5_B4GT5	Male	overall	10425_3	B4GT5	B4GALT5	2	IVW-MRE	-0.152972982614308	0.0110008016950084	5.85561524370086e-44	0.858152906546256	0.839847833679091	0.876856951321468
10490_3_RPN1_RPN1	Male	overall	10490_3	RPN1	RPN1	2	IVW-MRE	0.0530584170512027	0.0108975922682559	1.12266512382289e-06	1.05449124358911	1.03220690489705	1.07725667938348
10506_53_PGRMC2_PGRC2	Male	overall	10506_53	PGRC2	PGRMC2	2	IVW-MRE	-0.159238412050549	0.00956397760515675	3.03563348426903e-62	0.852793018598439	0.836955975239091	0.86892973356512
10667_78_C1orf185_CA185	Male	overall	10667_78	CA185	C1orf185	3	IVW-MRE	-0.133754200627304	0.0311495953969843	1.75537371248205e-05	0.874805064714943	0.82299314501438	0.929878828137195
10668_5_STX4_STX4	Male	overall	10668_5	STX4	STX4	2	IVW-MRE	0.019407369067019	1.83346176583839e-05	0	1.01959691627258	1.01956027684846	1.0196335570134
10700_10_IGSF11_IGS11	Male	overall	10700_10	IGS11	IGSF11	2	IVW-MRE	-0.488221168784848	0.0355839900729573	7.68022500796125e-43	0.613717122961204	0.572372206059586	0.658048561806943
10710_23_ZPBP2_ZPBP2	Male	overall	10710_23	ZPBP2	ZPBP2	2	IVW-MRE	-0.160316119481025	0.0296334807840437	6.30367634389771e-08	0.851874452287413	0.803805670949	0.902817818644158
10981_56_NRG3_NRG3	Male	overall	10981_56	NRG3	NRG3	2	IVW-MRE	-0.0957472291420518	0.00762864106885779	3.92420595979434e-36	0.908693678322202	0.895207838716519	0.922382675074198
11067_13_BGLAP_Osteocalcin	Male	overall	11067_13	Osteocalcin	BGLAP	2	IVW-MRE	-0.119858522040049	0.0227124997019706	1.31168963575409e-07	0.887045925287907	0.84842378508801	0.927426231324074
11155_16_COL6A5_CO6A5	Male	overall	11155_16	CO6A5	COL6A5	2	IVW-MRE	-0.112787182010761	0.00984958602382612	2.32564772703845e-30	0.893340758871089	0.876260050659053	0.910754416865333
11163_7_FAM162B_F162B	Male	overall	11163_7	F162B	FAM162B	2	IVW-MRE	-0.281876649110794	0.00281809596333142	0	0.75436673060132	0.750211496254482	0.758544979754735
11229_16_ERN1_ERN1	Male	overall	11229_16	ERN1	ERN1	3	IVW-MRE	-0.317478159052487	0.050688360100419	3.76830854793294e-10	0.727982580430009	0.659134713123569	0.804021737678049
11264_33_XDH_XDH	Male	overall	11264_33	XDH	XDH	3	IVW-MRE	-0.216095569557328	0.0477002353194743	5.89047036519938e-06	0.805658301786847	0.733749176040547	0.884614689096697
11265_8_ALDH1A1_Retinal_dehydrogenase_1	Male	overall	11265_8	Retinal_dehydrogenase_1	ALDH1A1	2	IVW-MRE	-0.115382147731722	0.00495127029963816	4.08118871807469e-120	0.891025575434683	0.882420448554361	0.899714617197925
11431_235_RECQL_RECQ1	Male	overall	11431_235	RECQ1	RECQL	8	IVW-MRE	0.042021214691965	0.00892334231073135	2.48771485573948e-06	1.04291660367057	1.02483483576024	1.06131739892008
11433_11_TCTN2_TECT2	Male	overall	11433_11	TECT2	TCTN2	3	IVW-MRE	-0.0557584579512314	0.010406179067316	8.40520679380096e-08	0.945767550935279	0.926672960647326	0.965255595433884
